What*;Price in PLN;Price in USD;Link;;;;;;;
Cheap filament suitable for this job;49,00;13,73;https://allegro.pl/oferta/professional-lab-premium-filament-do-drukarki-3d-tpu-1kg-1-75-black-czarny-18057264320?bi_s=ads&bi_m=productlisting:desktop:query&bi_c=YjMyMTQzZmYtMDI1Mi00M2Y3LTgzMjgtODEzODI4ZWVhNjdlAA&bi_t=ape&referrer=proxy&emission_unit_id=7dd76ab4-5728-4c31-b9a8-bfda4dc492cc;;;;;;;
Copper strip for spot welding;47,18;13,22;https://pl.aliexpress.com/item/1005004428101540.html?spm=a2g0o.productlist.main.4.36d4rzg3rzg3t5&aem_p4p_detail=20260203092522382668761668500000482596&algo_pvid=e5c07f00-e0b1-489c-aa11-b5b322e7e362&algo_exp_id=e5c07f00-e0b1-489c-aa11-b5b322e7e362-3&pdp_ext_f=%7B%22order%22%3A%2212%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21PLN%2136.29%2123.59%21%21%219.90%216.44%21%40211b81a317701395227128743e6fa7%2112000029167101120%21sea%21PL%212996920151%21X%211%210%21n_tag%3A-29919%3Bd%3Ac67cd4cb%3Bm03_new_user%3A-29895&curPageLogUid=auQHTitXkEU2&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004428101540%7C_p_origin_prod%3A&search_p4p_id=20260203092522382668761668500000482596_1;;;;;;;
Spot welder - my brother will lend me for a week;0,00;0,00;-;;;;;;;
Longboard;200,00;56,02;Already bought;;;;;;;
Trucks for electric longboards - cheapest was on alibaba;274,89;77,00;https://www.alibaba.com/product-detail/Double-Kingpin-Rear-Front-Trucks-15_1601595510200.html?spm=a2700.prosearch.normal_offer.d_image.6aff67afWrLuJL&priceId=fe06ee03be34402ca111a61822ca5bf5;;;;;;;
cheap bms 14s 100a;140,00;39,22;https://pl.aliexpress.com/item/1005005630468743.html?spm=a2g0o.order_list.order_list_main.174.608d1c244UJsFA&gatewayAdapt=glo2pol;;;;;;;
Insulation for batteries;14,29;4,00;https://pl.aliexpress.com/item/1005008389823367.html?spm=a2g0o.order_list.order_list_main.83.608d1c244UJsFA&gatewayAdapt=glo2pol;;;;;;;
cheapest pulley on aliexpress;54,59;15,29;https://pl.aliexpress.com/item/1005007446907710.html?spm=a2g0o.order_list.order_list_main.318.608d1c244UJsFA&gatewayAdapt=glo2pol;;;;;;;
high voltage dc fuse;12,19;3,41;https://pl.aliexpress.com/item/1005005549141226.html?spm=a2g0o.order_list.order_list_main.129.608d1c244UJsFA&gatewayAdapt=glo2pol;;;;;;;
mks express for bt connectivity and logging;45,89;12,85;https://pl.aliexpress.com/item/1005008357057646.html?spm=a2g0o.order_list.order_list_main.220.608d1c244UJsFA&gatewayAdapt=glo2pol;;;;;;;
Charger 12s;156,59;43,86;https://pl.aliexpress.com/item/1005006990161387.html?spm=a2g0o.order_list.order_list_main.226.608d1c244UJsFA&gatewayAdapt=glo2pol;;;;;;;
4psc 105mm wheel - cheapest that will not kill me [hopefully] on Poland crosswalks and roads;362,79;101,62;https://pl.aliexpress.com/item/1005007479585632.html?spm=a2g0o.productlist.main.2.17185c7bIm6mb5&algo_pvid=235255a5-ec00-4221-b131-1a9cee054a77&algo_exp_id=235255a5-ec00-4221-b131-1a9cee054a77-1&pdp_ext_f=%7B%22order%22%3A%223%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21PLN%21725.58%21362.79%21%21%211372.90%21686.45%21%40210385db17701401572916600edb56%2112000040949082584%21sea%21PL%212996920151%21X%211%210%21n_tag%3A-29919%3Bd%3Ac67cd4cb%3Bm03_new_user%3A-29895&curPageLogUid=nEhmeGmi1zrl&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007479585632%7C_p_origin_prod%3A;;;;;;;
VESC electric motor controller - cheapest one;264,18;74,00;https://flipsky.net/collections/electronic-products/products/mini-v6-mk5-with-power-button;;;;;;;
Flipsky 6384 reliable and just powerfull enough bldc motor;577,98;161,90;https://flipsky.net/collections/hobby-motors-for-esk8-ebike-efoil/products/flipsky-bldc-belt-motor-battle-hardened-6384-140kv-170kv-190kv-4000w-for-electric-skateboard;;;;;;;
Batteries for range that will allow me to traver to school;333,60;93,45;https://batterybuddy.pl/produkt/ampace-inr21700-jp40-2025-r/;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;PLN to USC ratio;;;*i dont cover in this document thigs such as connector, cables, screw etc, since these are more cheaper and i have already bought them
;;;;;;;3,57;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;SUM:;;;
;;;;;;;USD:;PLN:;;
;;;;;;;709,57;2533,17;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
